cp,asentamiento,municipio,zona,precio_envio
90264,Maguey Cenizo,Tlaxco,Intermedia,100
90264,La Trasquila,Tlaxco,Intermedia,100
90265,San Lorenzo Soltepec,Tlaxco,Intermedia,100
90265,El Perpetuo Socorro,Tlaxco,Intermedia,100
90265,San Agustín,Tlaxco,Intermedia,100
90265,El Pato,Tlaxco,Intermedia,100
90265,El Santísimo,Tlaxco,Intermedia,100
90265,Ex-hacienda San Buenaventura,Tlaxco,Intermedia,100
90265,Santa María,Tlaxco,Intermedia,100
90265,Santa Inés,Tlaxco,Intermedia,100
90265,Santa Cruz,Tlaxco,Intermedia,100
90266,La Providencia,Tlaxco,Intermedia,100
90266,San Francisco Quintanilla,Tlaxco,Intermedia,100
90266,Alta Luz,Tlaxco,Intermedia,100
90266,San Diego Quintanilla,Tlaxco,Intermedia,100
90266,El Fresno,Tlaxco,Intermedia,100
90267,San José Tepeyahualco,Tlaxco,Intermedia,100
90270,Tecomalucan,Tlaxco,Intermedia,100
90270,El Paraíso,Tlaxco,Intermedia,100
90270,Conzoquio,Tlaxco,Intermedia,100
90271,Máximo Rojas Xalóstoc,Tlaxco,Intermedia,100
90273,El Convento,Tlaxco,Intermedia,100
90273,Ex-hacienda San Pedro Metla,Tlaxco,Intermedia,100
90273,Santa Rosa de Lima,Tlaxco,Intermedia,100
90273,El Chupadero,Tlaxco,Intermedia,100
90274,La Palma,Tlaxco,Intermedia,100
90274,Las Arandelas,Tlaxco,Intermedia,100
90274,El Mirador,Tlaxco,Intermedia,100
90274,La Lobera,Tlaxco,Intermedia,100
90274,La Rosa,Tlaxco,Intermedia,100
90274,Los Capulines,Tlaxco,Intermedia,100
90274,Loma de Enmedio,Tlaxco,Intermedia,100
90274,Tetzitzilica,Tlaxco,Intermedia,100
90274,Los Charcos,Tlaxco,Intermedia,100
90274,La Ciénega,Tlaxco,Intermedia,100
90274,Las Palomas,Tlaxco,Intermedia,100
90275,Capilla de Tepeyahualco,Tlaxco,Intermedia,100
90275,Rancho Ojo de Agua,Tlaxco,Intermedia,100
90275,Las Mesas,Tlaxco,Intermedia,100
90276,El Potrero,Tlaxco,Intermedia,100
90276,El Potrero Mazayolo,Tlaxco,Intermedia,100
90276,El Llano,Tlaxco,Intermedia,100
90276,La Loma del Cortijo,Tlaxco,Intermedia,100
90276,Metla (Los Pinos),Tlaxco,Intermedia,100
90276,Toltecapa,Tlaxco,Intermedia,100
90276,Tlaquexpa,Tlaxco,Intermedia,100
90276,La Pera,Tlaxco,Intermedia,100
90277,Ciudad Industrial Xicohténcatl III,Tlaxco,Intermedia,100
90277,Comisión Federal de Electricidad-La Martinica,Tlaxco,Intermedia,100
90277,La Tronconera,Tlaxco,Intermedia,100
90277,El Grullo,Tlaxco,Intermedia,100
90277,El Volador,Tlaxco,Intermedia,100
90277,Santa Fe,Tlaxco,Intermedia,100
90277,San Pablo el Mirador,Tlaxco,Intermedia,100
90277,Tierra Nueva,Tlaxco,Intermedia,100
90277,El Jardín,Tlaxco,Intermedia,100
90277,El Tecorral,Tlaxco,Intermedia,100
90277,Las Tórtolas,Tlaxco,Intermedia,100
90277,San Baltazar,Tlaxco,Intermedia,100
90277,El Mirador (Teresa Rivera),Tlaxco,Intermedia,100
90277,La Loma del Jardín,Tlaxco,Intermedia,100
90278,Titichilco,Tlaxco,Intermedia,100
90278,San Antonio Chapultepec,Tlaxco,Intermedia,100
